raw_comment,clean_comment
"Honestly? Fair ratings. If this was part 1 though, Shino and Kankuro wouldve been on the upper half, before they became comic relief.",honestly fair ratings if this was part 1 though shino and kankuro wouldve been on the upper half before they became comic relief
"Ts not tuff, why we still stuck on aura pmo 🥀😭🙏",ts not tuff why we still stuck on aura pmo
Shino used to have mad aura,shino used to have mad aura
Rock lee 6 is criminal💀,rock lee 6 is criminal
Rock Lee Must to be higher,rock lee must to be higher
Sakura in the manga is a aura farmer too,sakura in the manga is a aura farmer too
"Bro, it should be a crime to put lee that low did you not watch the exams",bro it should be a crime to put lee that low did you not watch the exams
am i the only one who saw zoro  who is NOT a naruto character at the start and almost every time he starts the spin?,am i the only one who saw zoro who is not a naruto character at the start and almost every time he starts the spin
Rocklee needs to be higher tbh,rocklee needs to be higher tbh
Hashirama is underrated,hashirama is underrated
"everything was spot on, except people be sleeping on Shino. He's cold and calculated. Jutsus are unique and versatile. Honestly, a wasted potential of character.",everything was spot on except people be sleeping on shino hes cold and calculated jutsus are unique and versatile honestly a wasted potential of character
NEVER COOK AGAIN,never cook again
There's no way you put Rock lee at 6,theres no way you put rock lee at 6
I like the reaction when he rank sakura no tension at all*,i like the reaction when he rank sakura no tension at all
Shino at 9 is a travesty.,shino at 9 is a travesty
Bros is mewing from birth,bros is mewing from birth
How to hell does kankuro get above shino,how to hell does kankuro get above shino
Shine is at least in top 5 he was straight aura farming whole time he dindt stop when he was grown like sasuke,shine is at least in top 5 he was straight aura farming whole time he dindt stop when he was grown like sasuke
Lee has more aura than 6 bro,lee has more aura than 6 bro
Rock lee got the most aura,rock lee got the most aura
Rocklees rank was good.,rocklees rank was good
aura shino??? come on,aura shino come on
Hagaromo has left the chat,hagaromo has left the chat
Tenten has left the chat. She was in the wrong room.,tenten has left the chat she was in the wrong room
Hagoromo left the chat,hagoromo left the chat
"Itachi: Oh thank goodness! I’m not on here, I finally get some rest",itachi oh thank goodness im not on here i finally get some rest
The ramen guy should be #1.,the ramen guy should be 1
Remember. Hagoromo gave Naruto and Sasuke their powers.,remember hagoromo gave naruto and sasuke their powers
Nagato: And now... this world shall know Pain!,nagato and now this world shall know pain
One thing I think that gets overlooked about double Mangekyou Obito is that his Kamui would be faster than Kakashi's. And using it doesn't have to send someone to another dimension intact. Like with Deidara's arm. He could rapid fire pluck parts of your body off into another dimension.,one thing i think that gets overlooked about double mangekyou obito is that his kamui would be faster than kakashis and using it doesnt have to send someone to another dimension intact like with deidaras arm he could rapid fire pluck parts of your body off into another dimension
Love this guy huge fan of his,love this guy huge fan of his
"the fact Minato is in top 10 and died long long before the series ended,should tell us how broken he truly was....",the fact minato is in top 10 and died long long before the series endedshould tell us how broken he truly was
Where's Hagoromo?,wheres hagoromo
"Hagoromo, Hamura, Indra, Ashura, and arguably Nagato should all be up there.",hagoromo hamura indra ashura and arguably nagato should all be up there
"Kaguya, Madara, Obito, Kakashi, Naruto, Sasuke, Guy, Hashirama, Minato",kaguya madara obito kakashi naruto sasuke guy hashirama minato
I love how everyone on the list has some sort of special ability except the goat might guy who's just an absolutely chad,i love how everyone on the list has some sort of special ability except the goat might guy whos just an absolutely chad
"If we aren’t including hagoromo, lowk valid list. Also I really do enjoy your videos, keep up the great work man",if we arent including hagoromo lowk valid list also i really do enjoy your videos keep up the great work man
Yeah pretty accurate.,yeah pretty accurate
You forgot about Kaguya's kids?,you forgot about kaguyas kids
Ive always wondered how strong kaguya could have been if she trained her abilities,ive always wondered how strong kaguya could have been if she trained her abilities
It has obviously been implied in the show that Madara can't enter the kamui dimension with his rinnegan and there is no such link shown due to the fact he needed kakashis eye to get obito back from the kamui dimension.Kamui can only be accessed by Kamui users🙄,it has obviously been implied in the show that madara cant enter the kamui dimension with his rinnegan and there is no such link shown due to the fact he needed kakashis eye to get obito back from the kamui dimensionkamui can only be accessed by kamui users
"I get how dimensional travel counters full kamui absorption, but what about partial?",i get how dimensional travel counters full kamui absorption but what about partial
I'm guessing Minato being above Nagato (Not! Pain) we're assuming it's Minato with sage mode and KCM. Because if it's not than Nagato should be above Minato (Pre-death).,im guessing minato being above nagato not pain were assuming its minato with sage mode and kcm because if its not than nagato should be above minato predeath
Kakashi was not able to speed blitz kaguya. She was flying towards him thinking she'd kill him with the ash bones and keep going but the ash bones didn't work ending up with kakashi right in kaguyas face. That's not a speed feat.,kakashi was not able to speed blitz kaguya she was flying towards him thinking shed kill him with the ash bones and keep going but the ash bones didnt work ending up with kakashi right in kaguyas face thats not a speed feat
"Hey Nick, I think you have forgotten that power to travel between dimensions doesn't save you from kamui. If some vital organ of yours gets teleported into kamui dimension then you are done. Even kaguya had the ability to travel between dimensions like madara",hey nick i think you have forgotten that power to travel between dimensions doesnt save you from kamui if some vital organ of yours gets teleported into kamui dimension then you are done even kaguya had the ability to travel between dimensions like madara
I think Madara could have surpassed Kaguya but we'll never know. He certainly was heading in that direction.,i think madara could have surpassed kaguya but well never know he certainly was heading in that direction
"If i remember madara was actually about to go all out on naruto and sasuke, but was stabbed in the back by zetsu",if i remember madara was actually about to go all out on naruto and sasuke but was stabbed in the back by zetsu
Won't hagoromo and hamura come in this list?,wont hagoromo and hamura come in this list
"10""  is Tobyrama",10 is tobyrama
"Kakashi didn’t blitz kaguya, she wasn’t expecting him to phase through the ash bones (seen with the “!” Above kaguya’s head when this happened), she probably thought he was dead",kakashi didnt blitz kaguya she wasnt expecting him to phase through the ash bones seen with the above kaguyas head when this happened she probably thought he was dead
"I was going to say hagaromo right below Kaguya, but somebody beat me to the punch-",i was going to say hagaromo right below kaguya but somebody beat me to the punch
It’s official he is intentionally lying about kamui and how it works,its official he is intentionally lying about kamui and how it works
Thought dimensional travel with the 3rd Sharrigan was only exclusive to kaguya?,thought dimensional travel with the 3rd sharrigan was only exclusive to kaguya
"“Only the truly strong follow my anime
Podcast” 🤣",only the truly strong follow my anime podcast
Completely off topic but can’t Gon get his nen back If Alaka Hills them,completely off topic but cant gon get his nen back if alaka hills them
"The Obito downplay is crazy, who do you think would be stronger Kakashi with DMS or the original owner of those eyes and is an uchiha? I mean it’s common sense that Obito would be stronger than Kakashi with dms with or without feats",the obito downplay is crazy who do you think would be stronger kakashi with dms or the original owner of those eyes and is an uchiha i mean its common sense that obito would be stronger than kakashi with dms with or without feats
"Even if Madara can leave Kamui, if Kakashi or Obito only send like, his head and upper chest to the dimension. . . He’s dead or at least screwed. We know from Deidada that Kamui can and will rip someone apart, so it doesn’t matter if you can go get you could theoretically severed body part unless you are actually immortal. 

Kakashi’s eye is OP.",even if madara can leave kamui if kakashi or obito only send like his head and upper chest to the dimension hes dead or at least screwed we know from deidada that kamui can and will rip someone apart so it doesnt matter if you can go get you could theoretically severed body part unless you are actually immortal kakashis eye is op
This video is now long enough to be monetized. 😆,this video is now long enough to be monetized
"Hagaromo and his whole family need to get a mention, and hashirama is being seriously undervalued.",hagaromo and his whole family need to get a mention and hashirama is being seriously undervalued
One of the dumbest things I see is when people will say stuff like Kakashi with DMS is stronger than Obito with his DMS when they’re literally Obito’s eyes in the first place! Kakashi wouldn’t have any of that if not for Obito. Obito literally as a spirit teleported his eyes into Kakashi!,one of the dumbest things i see is when people will say stuff like kakashi with dms is stronger than obito with his dms when theyre literally obitos eyes in the first place kakashi wouldnt have any of that if not for obito obito literally as a spirit teleported his eyes into kakashi
Hagaromo and Hamura: am I a joke to you?,hagaromo and hamura am i a joke to you
Night Guy would like a word with your Madara placement...,night guy would like a word with your madara placement
